system,name,users,bs,MB,lat,min,max,std,iops,us50,us100,us250,us500,ms1,ms2,ms4,ms10,ms20,ms50,ms100,ms250,ms500,s1,s2,s5,p95_00, p99_00, p99_50, p99_90, p99_95, p99_99
pharos,randread,1,8K,  20.211,    0.383, 0.1,13,    0.2,2587 , 0, 5,14,72, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.506,0.540,0.556,0.748,1.288,8.384
pharos,randread,8,8K, 295.823,    0.207, 0.1,2,    0.0,37865 , 0, 0,97, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.241,0.278,0.314,0.478,0.564,1.112
pharos,randread,16,8K, 442.392,    0.277, 0.1,8,    0.1,56626 , 0, 0,23,75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.378,0.498,0.564,1.240,1.960,3.216
pharos,randread,32,8K, 525.247,    0.453, 0.1,443,    2.4,67231 , 0, 0,26,61, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.844,2.640,4.640,17.536,34.048,101.888
pharos,randread,64,8K, 551.628,    0.808, 0.1,1380,   13.8,70608 , 0, 0,33,56, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.828,3.536,7.968,85.504,280.576,700.416
pharos,read,1,8K,   1.390,    5.616, 0.1,2430,   85.5,177 , 0, 0,18,21,53, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0,1.752,52.480,158.720,2375.680,2441.216,2441.216
pharos,read,1,32K,  24.326,    1.281, 0.2,110,    3.9,778 , 0, 0, 1,24,65, 1, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0,5.344,17.024,24.960,44.800,63.744,111.104
pharos,read,1,128K,  13.743,    9.088, 0.5,172,   11.7,109 , 0, 0, 0, 0,18,22, 5,21,19,12, 1, 0, 0, 0, 0, 0,29.568,50.432,57.600,80.384,173.056,173.056
pharos,read,1,1M,  34.383,   29.070, 3.0,450,   43.2,34 , 0, 0, 0, 0, 0, 0,43, 4, 1,34,13, 2, 0, 0, 0, 0,74.000,243.000,302.000,453.000,453.000,453.000
pharos,read,8,1M,  92.234,   53.930, 3.0,448,   41.1,92 , 0, 0, 0, 0, 0, 0, 7, 4, 2,38,40, 6, 0, 0, 0, 0,110.000,215.000,297.000,449.000,449.000,449.000
pharos,read,16,1M, 242.373,   36.871, 0.2,637,   51.5,242 , 0, 0, 0, 8,16, 0, 6, 8,16,15,18, 8, 0, 0, 0, 0,129.536,246.784,296.960,395.264,399.360,634.880
pharos,read,32,1M, 331.058,   53.103, 0.3,718,   78.5,331 , 0, 0, 0, 2,24,10, 0, 3, 6,13,22,13, 2, 0, 0, 0,185.344,423.936,464.896,593.920,659.456,716.800
pharos,read,64,1M, 592.351,   52.773, 0.2,3116,  115.4,592 , 0, 0, 0, 1,10,14, 3, 7, 7,13,28,12, 1, 0, 0, 0,156.672,325.632,419.840,1581.056,2801.664,3129.344
pharos,write,1,1K,   1.970,    0.492, 0.2,51,    0.4,2017 , 0, 0, 8,27,64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.604,0.700,0.804,3.088,5.024,5.344
pharos,write,1,8K,  14.199,    0.546, 0.2,13,    0.4,1817 , 0, 0, 5,30,63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.636,0.988,4.896,5.472,5.664,8.384
pharos,write,1,128K,  91.656,    1.359, 0.6,13,    1.3,733 , 0, 0, 0, 0,82, 8, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0,5.280,5.664,5.856,11.072,11.584,13.888
pharos,write,4,1K,   8.497,    0.341, 0.1,35,    0.4,8701 , 0, 0,60,18,20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.652,0.804,1.080,7.264,9.152,11.328
pharos,write,4,8K,  45.276,    0.514, 0.2,20,    0.8,5795 , 0, 0, 6,57,35, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0,0.692,4.896,7.776,10.560,11.200,16.512
pharos,write,4,128K, 134.719,    2.776, 0.6,924,   15.1,1077 , 0, 0, 0, 0,25,58, 0,10, 5, 0, 0, 0, 0, 0, 0, 0,10.304,16.320,18.048,27.264,36.096,864.256
pharos,write,16,1K,  25.779,    0.336, 0.2,64,    0.7,26398 , 0, 0,20,76, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.398,0.836,5.024,10.176,10.816,16.512
pharos,write,16,8K,  99.661,    0.700, 0.2,704,    5.4,12756 , 0, 0, 1,87, 6, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0,0.756,9.792,10.816,17.024,18.560,33.024
pharos,write,16,128K, 177.305,    6.309, 0.6,401,   16.0,1418 , 0, 0, 0, 0, 5,11,61, 8, 7, 3, 0, 0, 0, 0, 0, 0,19.840,70.144,118.272,189.440,272.384,387.072

